feature,weight,feat_desc,result_desc,fpk1,fpk2,odds_ratio,sum1,sum2,sig,top1,top2,egs1,egs2,feat_type,feat_name
deprel_nmod:unmarked,0.021603760890458894,Unmarked nominal modifier,Unmarked nominal modifiers are 1.6x more common in Literature than Philosophy.,0.5,0.8,0.6,1189.0,618.0,***,itself themselves himself p herself c x pp. today g way f myself time minute another a y i b night φ doubt ourselves being,itself himself themselves pp. p. today herself time october years pp months another year bce little fall days thanks eds way bc yourself morning times,"""the welcoming ITSELF that brings arising"" ""just the objects THEMSELVES, rather than anything"" ""that Sperling HIMSELF was prepared to"" ""Q., sé, P) is called a probability"" ""which the subject HERSELF has""","""ventriloquism ITSELF"" ""with Herrick HIMSELF, the seventeenth"" ""Racine  s plays THEMSELVES, in their diversity"" ""books (M, PP"" ""Ghetto (VE, P""",deprel,nmod:unmarked
pos_CD,0.020790969076522496,Cardinal number,Cardinal numbers are 1.1x more common in Philosophy than Literature.,4.5,4.2,1.1,11339.0,3346.0,***,one two three four ii zero five iii v k ten six i thousand seven eight twenty nine million hundred vii viii forty iv vi,one two three four twenty five ii six ten hundred eight iii thousand seven thirty forty fifty nine twelve fifteen fourteen i iv vi million,"""to get from ONE wall to the other"" ""Then we consider TWO fundamental theories"" ""some of its THREE basic elements"" ""procedure consists of FOUR steps"" ""Matter (I and II""","""three units, ONE on Milton, one"" ""The first TWO instructors taught"" ""will present THREE detailed case studies"" ""made of those FOUR biographies"" ""now there were TWENTY, one of which""",pos,CD
deprel_advcl,0.015007907673770774,Adverbial clause modifier,Adverbial clause modifiers are 1.2x more common in Philosophy than Literature.,20.4,17.2,1.2,51165.0,13873.0,***,given is have see true has using having do are make follows say making know doing explain think believing saying taking right take does possible,making make see do is seen have given read doing using writing say having taking has does know reading did put giving had suggests made,"""GIVEN the preparatory"" ""though there IS a problem here"" ""Nathan Stout HAVE (in private correspondence"" ""for   If I SEE to it that A"" ""incredible, if TRUE""","""Later, MAKING amends to Sir James"" ""operationalize — to MAKE verifiably repeatable"" ""Where others SEE peace, she is"" ""as you always DO, never looking"" ""experience, as there IS little doubt that""",deprel,advcl
deprel_aux,0.01114741775352025,Auxiliary,Auxiliarys are 1.5x more common in Philosophy than Literature.,24.0,16.6,1.5,60309.0,13333.0,***,can will would does have may might should do could must has is are shall did had am need be having 's ca was wo,can have has would will had does may could might must do should is did are was shall having were be been am 'd ca,"""proposition one CAN define a notion"" ""properties that WILL probably be quite"" ""specifically, he WOULD observe that we"" ""— but where DOES it end"" ""But as I HAVE noted along the""","""perspective which CAN express the palimpsestic"" ""victims would HAVE raised objections"" ""something that HAS passed — it forms"" ""American literature WOULD experience decades"" ""following pages I WILL present three detailed""",deprel,aux
deprel_advmod,0.010333902720905673,Adverbial modifier,Adverbial modifiers are 1.2x more common in Philosophy than Literature.,56.3,47.2,1.2,141379.0,38008.0,***,not then so only when also more even however just thus how here now where n't very still first as simply therefore well why most,not more also when only so even then however most how thus just where now here too often as indeed still never much always very,"""standard QL is NOT purely formal because"" ""statement is THEN straightforward"" ""emotions generally, SO this result would"" ""as well that ONLY ing that holding"" ""word   pure   WHEN referring to states""","""men, some but NOT all of whom had"" ""natural landscape MORE than any other"" ""literature — was ALSO an impetus to define"" ""WHEN the narrator visits"" ""forcefully frames not ONLY the stories he""",deprel,advmod
pos_GW,0.009889763995466322,'Goes With' or error marker,'Goes With' or error markers are 1.6x more common in Literature than Philosophy.,0.0,0.0,0.6,2.0,1.0,,max isaac,futuri,"""DISAGREEMENT by MAX Kolbel ABSTRACT"" ""ISAAC LEVI GAIFMAN""","""FUTURI SPES VIRTUTEM ALIT""",pos,GW
pos_JJR,0.009155676083589515,"Adjective, comparative","Adjective, comparatives are 1.0x more common in Philosophy than Literature.",2.4,2.4,1.0,5999.0,1911.0,,more better higher less further greater lower worse earlier stronger closer later larger weaker broader deeper smaller simpler wider easier lesser harder clearer richer fewer,more less better larger earlier later greater older higher further broader wider lower closer worse younger longer stronger smaller deeper easier harder shorter clearer lesser,"""misapply it in some MORE or less restricted"" ""anger is no BETTER than chance at"" ""disproportionately HIGHER risks for those"" ""forming capacities LESS than theoretically"" ""inclined to ask any FURTHER questions""","""death will change MORE than the villagers"" ""struggle became LESS and less politically"" ""knows the desert BETTER and respects the"" ""the logic of LARGER wholes, of genres"" ""James Mill  s EARLIER description""",pos,JJR
deprel_obl:agent,0.0060285140715345105,Oblique agent in passive construction,Oblique agent in passive constructions are 1.2x more common in Literature than Philosophy.,2.4,2.9,0.8,6055.0,2333.0,***,fact theory evidence means what considerations reasons facts properties it those system rules model theories appeal laws relations context sentence subject agents agent principle them,it those critics men fact what poet number writers forces means author people others readers language work many words force scholars consciousness authors god nature,"""possible by the FACT that language lies"" ""M - L type THEORY is that of dependent"" ""supported by ones EVIDENCE, and thus provides"" ""expressed by MEANS of a classical"" ""determined by WHAT we existentially""","""surprised by IT (to be surprised"" ""relationships exerted by THOSE with power"" ""often seen by CRITICS as a kind of artistic"" ""were taught by MEN, some but not"" ""demonstrated by the FACT that the mutineers""",deprel,obl:agent
deprel_dep,0.003126277730728527,Unspecified dependency,Unspecified dependencys are 1.3x more common in Literature than Philosophy.,0.5,0.6,0.8,1161.0,481.0,***,c x a v p ii i b e ibid op f iii j + φ cf g n k u h y pp. t,p. ii i fig qtd london iii v iv km we cambridge pp. vi p vii f sic pp e viii ing fol ?common t,"""d) iff a < C or (a = c and"" ""ext (a(X))) c"" ""Connectives A, V, ». Parentheses"" ""usual connectives V, A, —, «"" ""then : max [P (E), p(F""","""Welt (VE, P.) that her ancestors"" ""of World War II, her choice of"" ""f] iction I little care for"" ""copied by art (FIG"" ""and Taney   (QTD""",deprel,dep
deprel_root,0.0014861115440556857,Root,Roots are 1.1x more common in Philosophy than Literature.,38.5,34.8,1.1,96626.0,27991.0,***,have is seems are let has consider think suppose argue say take seem need see what true make note show be makes means assume clear,see is have seems has what had makes suggests becomes made appears one seem become are make say seen come let take print takes argues,"""the board would HAVE to say something"" ""then there IS no reason to think"" ""Marthas anger SEEMS fitting"" ""way, there ARE many other emotional"" ""Furthermore, LET us denote by c""","""SEE also Sursum Coda"" ""that case there IS, simply, no reconciliation"" ""mechanical, does not HAVE its ultimate source"" ""of complicity SEEMS to be based on"" ""criticisms, HAS an at least tentative""",deprel,root
deprel_cc:preconj,-0.0030437365683720114,Preconjunct,Preconjuncts are 1.0x more common in Philosophy than Literature.,1.1,1.1,1.0,2764.0,877.0,,both either neither what,both either neither that each,"""sentence has BOTH a truth value and"" ""evolutionary forces have EITHER pushed our angry"" ""other item, NEITHER to our past experiences"" ""flourishing no matter WHAT her particular""","""suggested by BOTH poem and novel"" ""without negating EITHER their historicity"" ""NEITHER happens, a nonevent"" ""display, not THAT of grantsmanship"" ""of groupings, EACH with its institutional""",deprel,cc:preconj
deprel_csubj:outer,-0.005571528917826788,Outer clause clausal subject,Outer clause clausal subjects are 1.2x more common in Philosophy than Literature.,0.0,0.0,1.2,107.0,29.0,,matters do take describe seems have seeing happens fail act require enjoy desire value thinking argue love instantiate know manifest speak goes care hold choose,make take speak seek troubles modernize conquer matters inhabit making mediator talk return interests globalize write treat embracing see reading confront avenge fail doing set,"""What MATTERS is whether the"" ""What stereotypes DO is bias us towards"" ""The mis TAKE that the critic"" ""To DESCRIBE something as intrinsically"" ""What SEEMS unhelpful about""","""make art and to MAKE art is to take"" ""To TAKE the Mediterranean"" ""To SPEAK with Dante of co-immanence"" ""Jameson, to SEEK the ultimate message"" ""What TROUBLES Kevin is not only""",deprel,csubj:outer
deprel_reparandum,-0.007413981104049444,Overridden disfluency,Overridden disfluencys are 1.3x more common in Philosophy than Literature.,0.4,0.3,1.3,1028.0,256.0,***,is a i can w- are r to that be f- the what any of does w h p- m- should for or do and,is was be with and the this i were have a we all on in of na are believe attempting another dis his that does,"""That IS, an unratifiable"" ""for any ordinal A < K there will"" ""a, for each I e I with   i I"" ""not that we CAN, or should, disregard"" ""the range of W- questions they""","""of al - Tiba IS — and is not —"" ""was right, WAS n t I, to urge"" ""to, or could BE, is perhaps what"" ""become concerned WITH, for example"" ""identification AND — in filling in""",deprel,reparandum
deprel_orphan,-0.013918865241235647,Orphan,Orphans are 2.0x more common in Literature than Philosophy.,0.0,0.0,0.5,62.0,39.0,**,comments particular way not contexts time itself p minute proofs century case book encyclopaedia now agent level second times others part especially group might help,all particular england generations siren institution universal modernist feedback fiat doing other objects times itself ad comments engagements oxford capital accurately abstract hand opportunity fact,"""Steve Yablo for COMMENTS on earlier drafts"" ""rather than DS in PARTICULAR"" ""present in such a WAY that he can do"" ""properties, others NOT"" ""in different CONTEXTS""","""and above ALL out of reach of"" ""things, and in PARTICULAR to the way in which"" ""ed. Unlike ENGLAND at this period"" ""time and over GENERATIONS the process that"" ""quill pen to SIREN""",deprel,orphan
pos_AFX,-0.020519294512268797,Detached prefix or suffix,Detached prefix or suffixs are 2.1x more common in Literature than Philosophy.,0.0,0.0,0.5,19.0,13.0,*,non pre ap mid,mid non reli,"""in them this NON conceptual self"" ""impossible, to PRE vent leakage to"" ""must somehow AP pear as something"" ""thought; as a MID -wife he helps""","""promulgated in the MID -fifteenth century"" ""to deny it - NON - human beings"" ""nor age nor RELI gion mattered when""",pos,AFX
pos_RBR,-0.02921290859729038,"Adverb, comparative","Adverb, comparatives are 1.2x more common in Literature than Philosophy.",2.0,2.4,0.8,5097.0,1953.0,***,more less later further longer earlier better sooner deeper farther closer nearer easier,more less later longer earlier further better sooner nearer farther deeper closer,"""MORE specifically"" ""some more or LESS restricted range"" ""assumption, I will LATER suggest, is already"" ""goes a step FURTHER here : he claims"" ""it is no LONGER true that any life""","""also reveals far MORE explicitly than"" ""notes, was LESS mired in curricular"" ""literature until much LATER"" ""Holyoke took LONGER to convert entirely"" ""experienced much EARLIER, in industrial""",pos,RBR
pos_JJS,-0.031126874610518787,"Adjective, superlative","Adjective, superlatives are 1.2x more common in Philosophy than Literature.",1.5,1.3,1.2,3749.0,1020.0,***,least best most closest worst simplest highest greatest strongest smallest weakest lowest nearest largest foremost shortest latest tallest deepest biggest earliest easiest clearest slightest finest,least most best greatest highest worst earliest closest latest foremost largest clearest finest deepest fullest oldest lowest nearest slightest strongest smallest broadest simplest biggest purest,"""surprise me in the LEAST"" ""probably the BEST gloss on what anger"" ""But that is at MOST a fact about our"" ""world that is CLOSEST to u"" ""that maximises WORST - case expected""","""understand at LEAST in part why the"" ""with that of MOST visitors : Die"" ""it has at BEST an instrumental"" ""of France  s GREATEST tragic dramatist"" ""According to the HIGHEST Sphere : When Divine""",pos,JJS
deprel_obl:unmarked,-0.032239862873965026,Unmarked Oblique Nominal,Unmarked Oblique Nominals are 1.3x more common in Literature than Philosophy.,0.9,1.2,0.8,2306.0,969.0,***,itself way time p today themselves bit matter little times years day tomorrow thanks truth con that year lot week morning doubt c myself context,itself today years way time day times little year pp. bit themselves self matter night himself doubt decade morning days moment century thanks week months,"""recognize faces) is ITSELF fundamentally a"" ""words,   this WAY out in dia lectic"" ""This TIME around, one might"" ""consequence step P [= (qDr) T"" ""laborious for us TODAY that might well""","""less the drought ITSELF than virtually"" ""literary so suspect TODAY"" ""words, written YEARS before his actual"" ""put it this WAY"" ""again - this TIME definitively""",deprel,obl:unmarked
deprel_xcomp,-0.04405654817711385,Open clausal complement,Open clausal complements are 1.1x more common in Philosophy than Literature.,11.7,11.0,1.1,29476.0,8832.0,***,do have make true say be explain know believe show clear take think consider see possible give open understand provide plausible better go use accept,do make see clear take have think say understand know possible read speak write look find give be suggest use open go imagine better get,"""not decide to DO the preferred act"" ""allowing yourself to HAVE that emotion"" ""future self to MAKE rational decisions"" ""to be the   TRUE"" ""would have to SAY something about""","""she likes to DO"" ""can begin to MAKE sense of the interaction"" ""I hope to SEE a proliferation"" ""makes perfectly CLEAR what such an interconnection"" ""faculty member to TAKE over English literature""",deprel,xcomp
deprel_conj,-0.04530427826098235,Conjunct,Conjuncts are 1.5x more common in Literature than Philosophy.,26.7,40.0,0.7,67200.0,32215.0,***,have not b al etc is one has on what false properties knowledge true theory others other more relations less way belief beliefs are seems,one political what history cultural have culture others language form power politics made women social world work has those on place more life make less,"""equal, but we HAVE an overriding interest"" ""Whether or NOT such a reduction"" ""or just before B) all take the"" ""Schervish et AL"" ""phenomenon and data, ETC""","""Tennyson, and ONE on American poets"" ""economic and POLITICAL struggle became"" ""America, or WHAT he usefully calls"" ""Literature and HISTORY,   wrote of studies"" ""of racial, CULTURAL or gender difference""",deprel,conj
deprel_iobj,-0.04781926608062168,Indirect object,Indirect objects are 1.4x more common in Literature than Philosophy.,0.8,1.1,0.7,1918.0,853.0,***,us you him them me her one it ourselves others people children myself himself someone reader scientists itself themselves oneself friend a agent yourself participants,us him me them her you it readers reader himself themselves students myself ourselves people herself father audience writers king citizens behn friend bishop tancred,"""philosophy has taught US anything, it is"" ""to not tell YOU"" ""she cant tell HIM that, as then"" ""computers and asked THEM to design an arrowhead"" ""serve to assure ME that the Earth""","""which asks US to position ourselves"" ""because it reminds HIM of his own dead"" ""recognizes (Bring ME some physic"" ""which he tells THEM"" ""her, telling HER that he is also""",deprel,iobj
deprel_parataxis,-0.04792761067280725,Parataxis,Parataxiss are 1.1x more common in Literature than Philosophy.,5.7,6.2,0.9,14272.0,4970.0,***,= is see have say think has true seems are know let believe need argue what take make one says be do call suppose seem,see is say have think know seems said one has had argues come what let says become made mean thought make here suggests believe do,"""of states Pol = {s G Sf I ext"" ""intervention; that IS, one might not"" ""one might not SEE how we could have"" ""situated, we would HAVE evidence in favor"" ""dashing of hopes, SAY — but where does""","""colonialism : SEE Palimpsestic Memory"" ""phrases, that IS, lies not just"" ""the vulgar SAY the child is spoiled"" ""grave, There HAVE My Cave"" ""Did you ever THINK of one thing""",deprel,parataxis
deprel_dislocated,-0.0498613980087633,Dislocated elements,Dislocated elementss are 2.1x more common in Literature than Philosophy.,0.0,0.1,0.5,82.0,55.0,***,a whatever something what x theory i conditions none paribus b comparison q ones reasons fortiori inference response all set nature principles those child facie,i what power issue loss word fin tertour everything refugees homer octavos sentence substitution t coheres presage gods dayaks observation bounds thou that none parts,"""of the sets A and B. However"" ""According to that, WHATEVER else Savage  s"" ""for me,   or SOMETHING to that effect"" ""performance, WHAT, precisely, those"" ""a proof, P(X) will be a non-empty""","""greedy souls... I... I Will riches"" ""I take in, WHAT I dismiss, what"" ""the Spirituall POWER, moveth the Members"" ""a further ISSUE, we will see"" ""What LOSS, what crosses""",deprel,dislocated
pos_WRB,-0.05450240140020693,Wh-adverb,Wh-adverbs are 1.3x more common in Philosophy than Literature.,4.5,3.6,1.3,11397.0,2865.0,***,how when why where whenever wherever however whereby wherein whence whereupon wherefore,when how where why whenever wherever however whereby whereupon wherefore whither ahhow whomever whos wheree lest whence,"""And HOW do we determine"" ""word   pure   WHEN referring to states"" ""WHY not say, as both"" ""say — but WHERE does it end"" ""Thus WHENEVER a putative selfless""","""different problem WHEN she travels to"" ""will discuss HOW the concept of"" ""to the place WHERE his stories unfold"" ""least in part WHY the subject had"" ""WHENEVER the narrator enters""",pos,WRB
pos_RBS,-0.06028319350239585,"Adverb, superlative","Adverb, superlatives are 1.7x more common in Literature than Philosophy.",0.5,0.9,0.6,1330.0,712.0,***,most best least foremost darkest highest,most best least earliest,"""this is the MOST plausible way of"" ""Craig is BEST read as insisting"" ""that it is at LEAST conceivable for"" ""First and FOREMOST, I need to clarify"" ""were among the DARKEST known stellar systems""","""among its own MOST favored graduates"" ""provides one of the BEST known examples"" ""but is at LEAST oriented toward"" ""of one of the EARLIEST published volumes""",pos,RBS
pos_PRP,-0.06519107367451447,Personal pronoun,Personal pronouns are 1.2x more common in Philosophy than Literature.,33.4,28.6,1.2,83859.0,23021.0,***,it we i they he one us them you she itself me him themselves her himself ourselves herself myself 's oneself mine yourself ours a,it he i we they she them him us you itself one me himself her themselves herself myself ourselves thou oneself ye mine his ours,"""formal way, but IT can be provided"" ""this procedure WE recover a classical"" ""i¡ / (x) I G { T, F) such"" ""pluralism) because THEY formalize metalinguistic"" ""specifically, HE would observe that""","""they expunged IT from the curriculum"" ""America, or what HE usefully calls"" ""permanent, by which I mean that after"" ""overcome them (for WE tend to identify"" ""part because THEY were permanent""",pos,PRP
pos_WP$,-0.0737693127296325,Possessive wh-pronoun,Possessive wh-pronouns are 2.1x more common in Literature than Philosophy.,0.2,0.5,0.5,596.0,400.0,***,whose,whose whos,"""the property) WHOSE elements are interpreted""","""any language, WHOSE life experience"" ""that a boyfriend WHOS disposed to have""",pos,WP$
pos_VBZ,-0.08224043441203525,"Verb, 3rd person singular present","Verb, 3rd person singular presents are 1.2x more common in Philosophy than Literature.",43.2,34.9,1.2,108628.0,28129.0,***,is does has seems makes follows 's means requires says takes depends comes knows holds involves suggests believes fails provides gives allows appears exists goes,is has does seems makes becomes suggests appears takes 's comes remains argues means says offers provides gives calls describes shows allows goes begins writes,"""complementation ± IS induced by T"" ""formula like this DOES not at all mean"" ""every sentence HAS both a truth value"" ""popular because it SEEMS to spring out directly"" ""believe that what MAKES something count""","""particular institutions IS immaterial since"" ""literary enterprise HAS the same kind of"" ""the village, DOES the narration finally"" ""suggest, what SEEMS to be its   discontinuity"" ""Political Economy MAKES perfectly clear""",pos,VBZ
deprel_expl,-0.08881928047427268,Expletive,Expletives are 2.5x more common in Philosophy than Literature.,5.9,2.4,2.5,14873.0,1930.0,***,there it neither this that its here which i]t theres щ things,it there neither se,"""do not think THERE is anything simple"" ""IT has been shown"" ""But NEITHER vindicates realism"" ""THIS is because it is"" ""better one, then THAT would be reason""","""IT had long been the"" ""departments, now THERE were twenty, one"" ""narrative, but NEITHER is it true that"" ""SE is possible to""",deprel,expl
deprel_cc,-0.09187431356033553,Coordinating conjunction,Coordinating conjunctions are 1.3x more common in Literature than Philosophy.,26.3,35.1,0.7,65978.0,28229.0,***,and or but / rather nor yet as & + plus n minus let ¬ // not t/ ατα ór -> -+ }. a \/,and or but yet rather as / nor & + plus n let minus for not neither ed. pp. dis re either vol. add. .eir,"""x)) } AND denote by V the"" ""Physical object, OR individual example"" ""BUT it also supports"" ""some future time /, all psychopaths"" ""on detection RATHER than absolute""","""the nineties, AND like her peers"" ""redefine themselves OR be eliminated"" ""by men, some BUT not all of whom"" ""YET the comparative"" ""the aggregate RATHER than as distinct""",deprel,cc
pos_WP,-0.0939106727942413,Wh-pronoun,Wh-pronouns are 1.1x more common in Literature than Philosophy.,3.8,4.1,0.9,9509.0,3288.0,***,what who whatever whom whats whoever whichever whomever withwhat whos whywe whosoever wherer,what who whom whatever whoever whats whomever whiche wha whomsoever,"""But WHAT could the relevant"" ""rubric of agents WHO violate our demands"" ""insist that, WHATEVER he said, it was"" ""Schofield upon WHOM to rely"" ""resentment, asking WHATS so special about""","""America, or WHAT he usefully calls"" ""and the women WHO taught at both"" ""but not all of WHOM had advanced degrees"" ""the basis of WHATEVER it is that the"" ""According to Sprat, WHOEVER first asserted""",pos,WP
pos_VBG,-0.09502320603460317,"Verb, gerund or present participle","Verb, gerund or present participles are 1.1x more common in Philosophy than Literature.",15.6,14.1,1.1,39101.0,11387.0,***,being according having following using making doing thinking believing concerning taking regarding going including saying knowing corresponding involving speaking considering assuming explaining giving determining understanding,being having making according following including doing reading writing thinking taking using looking speaking going seeing coming becoming working giving saying trying moving showing describing,"""not in fact BEING violated"" ""or testable) ACCORDING to T, on which"" ""a drug (or HAVING such an emotion"" ""introduced in the FOLLOWING sections"" ""By USING the notion of physical""","""of freedom as BEING consciousness of"" ""contradictory position of HAVING a precise location"" ""Later, MAKING amends to Sir James"" ""ACCORDING to Robert H. Wiebe"" ""In the FOLLOWING pages I will present""",pos,VBG
pos_POS,-0.12284619551309504,Possessive ending,Possessive endings are 2.1x more common in Literature than Philosophy.,3.5,7.5,0.5,8873.0,6013.0,***,'s ' s ťs ́s αs *s ws ys ble,'s ' s -s mir ofthe ťs ous,"""instance, Paul  S belief that he"" ""Although Quine   s talk of ontology"" ""information about th S face to an inferential"" ""captured by Wimsat ŤS notion of successional"" ""of the Humean ́S fundamental facts""","""American literature  S intricate early"" ""the villagers   understanding of"" ""verse, Blanchot S conviction that"" ""destroy Sutter -S land; records"" ""Znamia and Novyi MIR only aer Tvardovskiis""",pos,POS
deprel_acl:relcl,-0.1263881263099188,Relative clause modifier,Relative clause modifiers are 1.0x more common in Philosophy than Literature.,14.0,13.6,1.0,35238.0,10937.0,**,have has is makes make do take call are takes said means think true used need know say made says want does believe ought follows,have made had has makes call do calls make called means know is takes seems take appears say seen used become see read come seem,"""anger that we HAVE in response to"" ""expert presumably HAS is a capacity for"" ""determining what there IS from that of merely"" ""that the critic MAKES is to assume that"" ""emotions) that MAKE your belief forming""","""line we do n t HAVE to go beyond"" ""achievement that MADE their realistic"" ""Language,   which HAD once again - this"" ""urban center that HAS for genera tions"" ""influence she MAKES manifest : she""",deprel,acl:relcl
pos_IN,-0.15318293721798926,Preposition or subordinating conjunction,Preposition or subordinating conjunctions are 1.0x more common in Literature than Philosophy.,136.3,136.5,1.0,342458.0,109912.0,,of in that to for as on by with if from at about between than because whether since like into without while over under against,of in to as for that with by on from at between than into about if like through because while within after without against over,"""sublanguage L OF $ £ with a notion"" ""procedure consists IN choosing, for"" ""general idea THAT some nonclassical"" ""testable) according TO T, on which a"" ""in choosing, FOR a given theory""","""experience decades OF growth, especially"" ""were crucial IN part because they"" ""According TO Robert H. Wiebe"" ""especially AS a result of the"" ""in Rhetoric, FOR example, increasingly""",pos,IN
pos_RP,-0.17107800152384706,Particle,Particles are 1.1x more common in Literature than Philosophy.,1.9,2.1,0.9,4816.0,1690.0,**,out up on off down in over aside away about like through together forward back forth apart n moot behind,out up on down off in over away aside together about through like back forth ing anew awaie forward bare,"""seems to spring OUT directly from the"" ""that make it UP we need at least"" ""phenomena by drawing ON methodological"" ""will be worse OFF than the first"" ""principle be narrowed DOWN, even to a single""","""prevalent through OUT last word poetry"" ""literature showed UP in such curricula"" ""keeping them ON to teach multiple"" ""until I sit DOWN at the computer"" ""one, killing OFF the dead all over""",pos,RP
pos_VBN,-0.17653904415996094,"Verb, past participle","Verb, past participles are 1.1x more common in Literature than Philosophy.",21.2,23.2,0.9,53338.0,18675.0,***,given been based used made taken justified understood seen said required called known defined considered associated described explained expected determined involved thought done supposed expressed,been given made seen written taken known called used found based said defined understood associated lost done read described become published produced considered established represented,"""choosing, for a GIVEN theory T and classical"" ""It has BEEN shown that the"" ""analyticity is BASED on the idea that"" ""test that is USED"" ""I have MADE the case for fitting""","""It had long BEEN the Seminary  s"" ""if they were GIVEN, not pro jected"" ""station she is MADE to think of the"" ""however, it was SEEN that this strategic"" ""last words, WRITTEN years before his""",pos,VBN
pos_NNPS,-0.20170770350950618,"Proper noun, plural","Proper noun, plurals are 4.7x more common in Literature than Philosophy.",0.5,2.5,0.2,1352.0,2043.0,***,states humeans principles netherlands greeks essays reasons stoics sciences fregeans canberrans kantians americans thaïes lectures priors dogmas studies blacks foundations publishers gibsons bayesians bones earthlings,states americans jews studies ages indians works palestinians letters notes poems years scots children germans men europeans greeks nazis tales humanities nations women africans lives,"""STATES are defined as"" ""is one that HUMEANS in particular should"" ""Harm and Offense PRINCIPLES (suitably supplemented"" ""Printed in the NETHERLANDS"" ""those of the GREEKS""","""the United STATES of the latter nineteenth"" ""citizenship to black AMERICANS in the United States"" ""possibilities that the JEWS and their conceptually"" ""Figurai Realism : STUDIES in the Mimesis"" ""of the Middle AGES) and transforms""",pos,NNPS
pos_PRP$,-0.25975858958190484,Possessive pronoun,Possessive pronouns are 1.6x more common in Literature than Philosophy.,9.4,14.7,0.6,23614.0,11797.0,***,our their its his my her your someones there he thou ther you ist ur hy anyones thy φ o tu wis ys u qua,his its their her our my your thy ye thou oure you he ur thei ther thine yout someones yr ihis shis thi thair lhe,"""We illustrate OUR procedure in Sects"" ""she hates for THEIR anniversary"" ""changing some of ITS three basic elements"" ""year George buys HIS wife Martha the"" ""of them, but MY hunch is that when""","""of sorts to HIS great Cities of"" ""rapidly crumbled in ITS aftermath"" ""universities with THEIR secular research"" ""to focus on HER career as a writer"" ""Topographies — and OUR relation to the""",pos,PRP$
pos_TO,-0.3036793094320948,to,tos are 1.2x more common in Philosophy than Literature.,15.6,12.7,1.2,39215.0,10241.0,***,to na t per for as v ja cant by d jus ta es af ex tò into in m itd dis a ra des,to na re by shd y for es aban mo,"""because it seems TO spring out directly"" ""goodness and NA ture"" ""proponent to defend T necessarily increase"" ""She must PER form an inference"" ""are sufficient FOR refer ence to a""","""women then had TO redefine themselves"" ""literary are NA be come evident"" ""an effort to RE shape the religion"" ""on) should BY now be self‐evident"" ""least ye hand SHD betray it""",pos,TO
deprel_det,-0.32857948512163804,Determiner,Determiners are 1.0x more common in Literature than Philosophy.,93.8,97.0,1.0,235682.0,78072.0,***,the a this an these some no any that all those each every another what which both whatever neither either whichever anothers n least it,the a this an these no that all any some those another every what each both which whatever neither either thee whichever it e th,"""of states in THE physical proposition"" ""for every A (jc) G < /"" ""definition generalizes THIS idea"" ""implicitly introduce AN epistemological"" ""the proofs of THESE theorems implicitly""","""education in THE nineties, and"" ""the subject had A reputation as elementary"" ""once again - THIS time definitively"" ""Chamberlin received AN M.A"" ""THESE women then had""",deprel,det
pos_PDT,-0.3380145148860287,Predeterminer,Predeterminers are 1.2x more common in Philosophy than Literature.,1.2,1.0,1.2,2925.0,797.0,***,such all quite half each both next nary,all such quite half each many both nary,"""property, while SUCH a set can not be"" ""responsible for ALL the data that instantiate"" ""interesting facts QUITE another, and the"" ""We tell only HALF the story when"" ""Alicedown as EACH a distinct subject""","""soft landing ALL the same, as the"" ""perfectly clear what SUCH an interconnection"" ""fact, he makes QUITE the opposite claim"" ""And perhaps HALF a dozen years before"" ""mountains are EACH a recognizable""",pos,PDT
pos_NNP,-0.40842421476234286,"Proper noun, singular","Proper noun, singulars are 2.1x more common in Literature than Philosophy.",20.3,43.0,0.5,50987.0,34612.0,***,s a c sect t god f university kant aristotle al q e oxford l lewis b d cambridge john r fig g socrates press,god english new john england la derrida united milton shakespeare james europe london university king world henry e christ war de william america ed. eliot,"""Axiom P { ext (S)   S G is a partition"" ""Sf I > ext (A) G ¿"" ""dependent notion of C - truth { true"" ""We obtain in SECT"" ""given theory T and classical language""","""their duty to GOD, to their mother"" ""called   Spoken ENGLISH  ), Drama, and"" ""Fiction and Film (NEW York and Oxford"" ""the example of JOHN Bunyan, author"" ""most others in ENGLAND during this period""",pos,NNP
pos_VBD,-0.5124966121690383,"Verb, past tense","Verb, past tenses are 3.2x more common in Literature than Philosophy.",4.6,14.8,0.3,11664.0,11895.0,***,was were had did said saw thought made took came argued used put knew believed noted found meant became led failed caused gave showed mentioned,was were had did made became wrote came took said saw began thought went felt found knew seemed called used wanted read sought gave appeared,"""huge literature WAS produced on this"" ""judgments about cases WERE supposed to anchor"" ""worse, then we HAD better have a good"" ""Maclntyre simply DID not recognize these"" ""As I SAID, I do not think""","""nineteenth century WAS a society engaged"" ""These gains WERE crucial in part"" ""These women then HAD to redefine themselves"" ""curricular debut but DID not survive"" ""American literature MADE a curricular debut""",pos,VBD
deprel_punct,-0.6998448965620134,Punctuation,Punctuations are 1.1x more common in Literature than Philosophy.,116.8,127.9,0.9,293546.0,102990.0,***,", . - ( ) "" ' : ? ; — [ ] < ... * > ! / – { | ~ · ^",", . "" - : ( ' ) — ; ? [ ] ! ... [. – / .... * | « .. -- >","""/ >(*), the set of states"" ""depends on T"" ""notion of C - truth on < /"" ""for every a (jc) G < /"" ""depends on T""","""Mount Holyoke, Chamberlin received"" ""received an M.A"" ""as the   head   of English literature"" ""time definitively - been separated"" ""of the period : divided between""",deprel,punct
